City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bonthe,SL,81.09,few clouds,7.5264,-12.505,Bonthe Holiday Village
4,Bethel,US,78.35,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
5,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Isangel,VU,75.51,overcast clouds,-19.55,169.2667,Tanna Lodge
7,Bac Lieu,VN,83.07,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
8,Rikitea,PF,77.54,clear sky,-23.1203,-134.9692,People ThankYou
10,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
11,Butaritari,KI,80.67,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
12,Port Elizabeth,ZA,61.32,clear sky,-33.918,25.5701,39 On Nile Guest House
13,Kitgum,UG,70.52,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
18,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
20,Jaen,ES,72.93,overcast clouds,38.0,-3.5,Hotel TRH Baeza
21,Carutapera,BR,78.37,light rain,-1.195,-46.02,Lidera
22,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
25,Agadir,MA,77.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
26,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Camacha,PT,63.82,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
31,Iracoubo,GF,79.79,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
33,Katsuura,JP,65.01,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
34,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
39,Castro,BR,64.22,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
41,Port Alfred,ZA,61.61,clear sky,-33.5906,26.891,The Halyards Hotel
42,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
43,Kaduqli,SD,89.19,overcast clouds,11.0167,29.7167,Nussyba
46,Hithadhoo,MV,83.66,overcast clouds,-0.6,73.0833,Scoop Guest House
47,Nisia Floresta,BR,79.61,light rain,-6.0911,-35.2086,Rancho Crepusculo
48,Constitucion,CL,61.02,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
51,Ugoofaaru,MV,84.04,broken clouds,5.6667,73.0,Ungoofaaru Inn
53,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
54,Imperia,IT,63.09,few clouds,43.9667,7.7833,La Stregatta
56,Marawi,PH,69.17,broken clouds,7.9986,124.2928,Derogongan Residence
58,Falam,MM,60.67,scattered clouds,22.9167,93.6833,Falang Government Guesthouse
59,Alamosa,US,78.78,clear sky,37.4695,-105.87,Best Western Alamosa Inn
60,Dali,CN,60.51,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
61,Ponta Do Sol,PT,71.01,few clouds,32.6667,-17.1,Hotel do Campo
64,Surt,LY,64.89,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
65,Jamestown,US,76.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
69,Limenaria,GR,64.94,few clouds,40.6261,24.5786,Thalassies Hotel
72,Pouebo,NC,73.15,overcast clouds,-20.4,164.5667,RIVÂT LODGE
73,Abu Dhabi,AE,82.96,clear sky,24.4667,54.3667,Beach Rotana
77,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
80,Awbari,LY,73.08,clear sky,26.5921,12.7805,فندق أوباري
83,Majene,ID,78.55,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
85,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
87,Alyangula,AU,77.67,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
88,Sao Filipe,CV,73.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
91,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Alize Plage
93,Ribeira Grande,PT,61.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
94,Lengshuitan,CN,64.18,overcast clouds,26.4111,111.5956,Jialong Hotel
95,Tagusao,PH,80.35,scattered clouds,9.1924,117.8141,Green Villa beach resort
96,Hambantota,LK,80.49,overcast clouds,6.1241,81.1185,Bungalow 63
97,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Yokadouma,CM,67.55,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
100,Cidreira,BR,63.72,scattered clouds,-30.1811,-50.2056,Hotel Castelo
105,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
106,Esperance,AU,64.98,overcast clouds,-33.8667,121.9,Hospitality Esperance
107,Mayo,US,71.76,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
108,Kalmunai,LK,80.51,overcast clouds,7.4167,81.8167,VS Villa
109,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
110,Slupca,PL,69.21,scattered clouds,52.2873,17.8719,Hotel Magnat
112,Guerrero Negro,MX,67.19,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
113,Virginia Beach,US,61.05,light intensity drizzle,36.8529,-75.978,Hilton Virginia Beach Oceanfront
115,Alta Floresta,BR,82.31,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
117,Brokopondo,SR,82.13,scattered clouds,4.75,-55.1667,Matu Island
118,Lumberton,US,81.32,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
119,Sint-Gillis-Waas,BE,68.05,scattered clouds,51.228,4.1206,Fruithof Tack
121,Hilo,US,82.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
122,Cockburn Town,TC,80.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
124,Oxapampa,PE,66.11,scattered clouds,-10.5775,-75.4017,Hotel Heidinger
125,Ahuimanu,US,80.31,clear sky,21.4447,-157.8378,Paradise Bay Resort
128,Ambovombe,MG,67.55,few clouds,-25.1667,46.0833,RELAHARA
130,Nago,JP,76.05,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
131,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
132,Amboasary,MG,67.35,clear sky,-25.0333,46.3833,Le Bon Samaritain
133,Lorengau,PG,81.84,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
134,Buchanan,LR,80.44,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
136,Caravelas,BR,75.02,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
138,Vao,NC,73.56,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
139,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
140,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
142,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
143,East London,ZA,62.11,clear sky,-33.0153,27.9116,Tu Casa
145,Sur,OM,86.59,broken clouds,22.5667,59.5289,Sur Plaza Hotel
147,Fare,PF,81.79,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
149,Kyela,TZ,69.01,clear sky,-9.5833,33.85,ML Inn
150,Pemba,MZ,76.21,light rain,-12.974,40.5178,Guesthouse Samotina
152,Laguna,US,68.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
153,Playas,EC,74.1,overcast clouds,-2.6333,-80.3833,Hostal Promenade
155,Victoria,HK,80.65,light rain,22.2855,114.1577,Mini Central
159,Dalby,AU,66.97,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
162,Banjar,ID,78.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
165,Gilgit,PK,71.13,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
166,Ituango,CO,68.88,overcast clouds,7.1712,-75.764,HOTEL LA CASONA ITUANGO
168,Lacolle,CA,82.65,clear sky,45.0834,-73.3659,Motel Lacolle
170,Solec Kujawski,PL,71.98,clear sky,53.0837,18.2257,MM-Rooms
